STATION_NAME,DATE,AVEMAX
COTTONWOOD WEIR UT US,19500701,90.1
COTTONWOOD WEIR UT US,19500801,91.9
COTTONWOOD WEIR UT US,19500901,78.3
COTTONWOOD WEIR UT US,19501001,75.6
COTTONWOOD WEIR UT US,19501101,54.9
COTTONWOOD WEIR UT US,19501201,41
COTTONWOOD WEIR UT US,19510101,42.6
COTTONWOOD WEIR UT US,19510201,49.6
COTTONWOOD WEIR UT US,19510301,51.8
COTTONWOOD WEIR UT US,19510401,65.7
COTTONWOOD WEIR UT US,19510501,72.5
COTTONWOOD WEIR UT US,19510601,78.4
COTTONWOOD WEIR UT US,19510701,93.2
COTTONWOOD WEIR UT US,19510801,87.8
COTTONWOOD WEIR UT US,19510901,84
COTTONWOOD WEIR UT US,19511001,64.2
COTTONWOOD WEIR UT US,19511101,50
COTTONWOOD WEIR UT US,19511201,40.5
COTTONWOOD WEIR UT US,19520101,41.4
COTTONWOOD WEIR UT US,19520201,43.5
COTTONWOOD WEIR UT US,19520301,45.5
COTTONWOOD WEIR UT US,19520401,65.8
COTTONWOOD WEIR UT US,19520501,75.6
COTTONWOOD WEIR UT US,19520601,84
COTTONWOOD WEIR UT US,19520701,90.9
COTTONWOOD WEIR UT US,19520801,91.9
COTTONWOOD WEIR UT US,19520901,86.4
COTTONWOOD WEIR UT US,19521001,77.4
COTTONWOOD WEIR UT US,19521101,48.7
COTTONWOOD WEIR UT US,19521201,44.2
COTTONWOOD WEIR UT US,19530101,51.6
COTTONWOOD WEIR UT US,19530201,48.9
COTTONWOOD WEIR UT US,19530301,57.9
COTTONWOOD WEIR UT US,19530401,60.1
COTTONWOOD WEIR UT US,19530501,65.7
COTTONWOOD WEIR UT US,19530601,82.9
COTTONWOOD WEIR UT US,19530701,95
COTTONWOOD WEIR UT US,19530801,91.2
COTTONWOOD WEIR UT US,19530901,88
COTTONWOOD WEIR UT US,19531001,70.5
COTTONWOOD WEIR UT US,19531101,58.6
COTTONWOOD WEIR UT US,19531201,41.5
COTTONWOOD WEIR UT US,19540101,46.9
COTTONWOOD WEIR UT US,19540201,48.6
COTTONWOOD WEIR UT US,19540301,52.3
